time,"d-srs-04 [C40] CITEDI-IPN, Tijuana / Temperature","d-srs-04 [C40] CITEDI-IPN, Tijuana / Humidity","d-srs-04 [C40] CITEDI-IPN, Tijuana / Battery Voltage","d-srs-04 [C40] CITEDI-IPN, Tijuana / Activity",d-srs-06 [PV] / Temperature,d-srs-06 [PV] / Humidity,d-srs-06 [PV] / Battery Voltage,d-srs-06 [PV] / Activity
"Wed, 04 Sep 2024 12:01:51",,,,1.0,,,,
"Wed, 04 Sep 2024 12:07:45",,,,0.0,,,,
"Wed, 04 Sep 2024 12:33:47",,,,1.0,,,,
"Wed, 04 Sep 2024 12:38:47",,,,0.0,,,,
"Wed, 04 Sep 2024 12:39:12",25.1,61.5,2.838,,,,,
"Wed, 04 Sep 2024 12:55:23",,,,1.0,,,,
"Wed, 04 Sep 2024 13:23:53",,,,,28.7,56.5,3.031,
"Wed, 04 Sep 2024 13:39:12",25.4,59.5,2.838,,,,,
"Wed, 04 Sep 2024 14:39:13",25.7,55.5,2.839,,,,,
"Wed, 04 Sep 2024 14:47:37",,,,1.0,,,,
"Wed, 04 Sep 2024 15:02:45",,,,0.0,,,,
"Wed, 04 Sep 2024 15:03:14",,,,1.0,,,,
"Wed, 04 Sep 2024 15:10:48",,,,0.0,,,,
"Wed, 04 Sep 2024 15:34:34",,,,1.0,,,,
"Wed, 04 Sep 2024 15:39:12",26.2,59.0,2.834,,,,,
"Wed, 04 Sep 2024 16:39:13",26.0,57.0,2.839,,,,,
"Wed, 04 Sep 2024 17:08:54",,,,1.0,,,,
"Wed, 04 Sep 2024 17:36:59",,,,0.0,,,,
"Wed, 04 Sep 2024 17:39:12",26.1,59.0,2.839,,,,,
"Wed, 04 Sep 2024 18:23:40",,,,,28.9,57.5,3.028,
"Wed, 04 Sep 2024 18:34:47",,,,,,,,1.0
"Wed, 04 Sep 2024 18:39:13",26.5,60.5,2.838,,,,,
"Wed, 04 Sep 2024 19:23:54",,,,,27.1,48.0,3.029,
"Wed, 04 Sep 2024 19:39:13",26.5,61.5,2.835,,,,,
"Wed, 04 Sep 2024 20:23:54",,,,,26.2,45.5,3.027,
"Wed, 04 Sep 2024 20:25:55",,,,,,,,0.0
"Wed, 04 Sep 2024 20:37:10",,,,,,,,1.0
"Wed, 04 Sep 2024 20:39:13",26.2,62.0,2.836,,,,,
"Wed, 04 Sep 2024 20:42:03",,,,,,,,0.0
"Wed, 04 Sep 2024 21:39:13",26.1,62.5,2.839,,,,,
"Wed, 04 Sep 2024 22:56:45",,,,,,,,1.0
"Wed, 04 Sep 2024 23:01:45",,,,,,,,0.0
"Wed, 04 Sep 2024 23:39:13",25.9,64.0,2.841,,,,,
"Wed, 04 Sep 2024 23:48:16",,,,,,,,1.0
"Wed, 04 Sep 2024 23:55:03",,,,,,,,0.0
"Thu, 05 Sep 2024 00:39:13",25.9,64.5,2.834,,,,,
"Thu, 05 Sep 2024 01:39:14",25.9,64.5,2.839,,,,,
"Thu, 05 Sep 2024 02:23:40",,,,,27.2,57.0,3.027,
"Thu, 05 Sep 2024 02:39:14",25.7,65.0,2.839,,,,,
"Thu, 05 Sep 2024 03:23:40",,,,,27.1,57.5,3.028,
"Thu, 05 Sep 2024 03:30:53",,,,,,,,1.0
"Thu, 05 Sep 2024 03:39:14",25.6,65.5,2.839,,,,,
"Thu, 05 Sep 2024 04:39:14",25.5,65.5,2.836,,,,,
"Thu, 05 Sep 2024 05:39:14",25.5,65.5,2.835,,,,,
"Thu, 05 Sep 2024 06:27:42",,,,,,,,1.0
"Thu, 05 Sep 2024 06:39:14",25.4,65.5,2.838,,,,,
"Thu, 05 Sep 2024 06:48:43",,,,,,,,1.0
"Thu, 05 Sep 2024 06:53:36",,,,,,,,0.0
"Thu, 05 Sep 2024 06:55:19",,,,,,,,1.0
"Thu, 05 Sep 2024 07:23:55",,,,,25.9,53.0,3.024,
"Thu, 05 Sep 2024 07:55:09",,,,,,,,1.0
"Thu, 05 Sep 2024 08:37:19",,,,,,,,0.0
"Thu, 05 Sep 2024 08:39:15",25.7,63.5,2.835,,,,,
"Thu, 05 Sep 2024 09:03:33",,,,1.0,,,,
"Thu, 05 Sep 2024 09:23:48",,,,,27.5,56.5,3.028,
"Thu, 05 Sep 2024 09:39:15",25.1,60.5,2.836,,,,,
"Thu, 05 Sep 2024 10:00:27",,,,0.0,,,,
"Thu, 05 Sep 2024 10:25:53",,,,1.0,,,,
"Thu, 05 Sep 2024 10:39:15",25.3,61.5,2.835,,,,,
"Thu, 05 Sep 2024 11:13:25",,,,0.0,,,,
"Thu, 05 Sep 2024 11:39:16",25.6,60.5,2.834,,,,,
