time,"d-srs-04 [C40] CITEDI-IPN, Tijuana / Temperature","d-srs-04 [C40] CITEDI-IPN, Tijuana / Humidity","d-srs-04 [C40] CITEDI-IPN, Tijuana / Battery Voltage","d-srs-04 [C40] CITEDI-IPN, Tijuana / Activity",d-srs-06 [PV] / Temperature,d-srs-06 [PV] / Humidity,d-srs-06 [PV] / Battery Voltage,d-srs-06 [PV] / Activity
"Mon, 16 Sep 2024 12:39:50",24.2,53.5,2.841,,,,,
"Mon, 16 Sep 2024 13:39:50",24.4,53.0,2.841,,,,,
"Mon, 16 Sep 2024 14:39:50",24.9,51.5,2.838,,,,,
"Mon, 16 Sep 2024 15:39:50",25.1,50.5,2.843,,,,,
"Mon, 16 Sep 2024 16:39:50",25.3,50.0,2.841,,,,,
"Mon, 16 Sep 2024 17:39:50",25.0,50.0,2.841,,,,,
"Mon, 16 Sep 2024 18:39:50",24.4,52.0,2.832,,,,,
"Mon, 16 Sep 2024 19:39:50",23.9,53.0,2.836,,,,,
"Mon, 16 Sep 2024 20:39:50",23.6,53.5,2.838,,,,,
"Mon, 16 Sep 2024 21:39:51",23.4,54.0,2.834,,,,,
"Mon, 16 Sep 2024 22:24:15",,,,,24.0,48.0,3.028,
"Mon, 16 Sep 2024 22:39:51",23.3,54.0,2.836,,,,,
"Mon, 16 Sep 2024 23:24:15",,,,,23.8,49.0,,
"Mon, 16 Sep 2024 23:39:51",23.2,54.0,2.835,,,,,
"Tue, 17 Sep 2024 00:05:26",,,,,,,,1.0
"Tue, 17 Sep 2024 00:11:46",,,,,,,,0.0
"Tue, 17 Sep 2024 00:24:22",,,,,23.6,49.0,3.024,
"Tue, 17 Sep 2024 00:39:51",23.1,54.5,2.839,,,,,
"Tue, 17 Sep 2024 01:39:51",23.0,54.5,2.835,,,,,
"Tue, 17 Sep 2024 02:39:52",22.9,54.5,2.836,,,,,
"Tue, 17 Sep 2024 03:02:18",,,,,,,,0.0
"Tue, 17 Sep 2024 03:39:52",22.8,54.5,2.832,,,,,
"Tue, 17 Sep 2024 04:24:15",,,,,22.4,47.5,3.024,
"Tue, 17 Sep 2024 04:39:52",22.7,55.0,2.835,,,,,
"Tue, 17 Sep 2024 05:24:23",,,,,22.0,47.5,3.028,
"Tue, 17 Sep 2024 05:39:52",22.7,55.0,2.83,,,,,
"Tue, 17 Sep 2024 06:38:09",,,,,,,,0.0
"Tue, 17 Sep 2024 06:39:52",22.5,55.0,2.831,,,,,
"Tue, 17 Sep 2024 07:06:54",,,,,,,,0.0
"Tue, 17 Sep 2024 07:24:16",,,,,22.3,48.0,3.029,
"Tue, 17 Sep 2024 07:39:52",22.4,54.5,2.836,,,,,
"Tue, 17 Sep 2024 08:15:44",,,,,,,,1.0
"Tue, 17 Sep 2024 08:39:52",22.5,54.0,2.831,,,,,
"Tue, 17 Sep 2024 09:04:24",,,,1.0,,,,
"Tue, 17 Sep 2024 09:24:16",,,,,23.1,49.0,3.025,
"Tue, 17 Sep 2024 09:39:52",22.5,56.5,2.831,,,,,
"Tue, 17 Sep 2024 10:03:32",,,,0.0,,,,
"Tue, 17 Sep 2024 10:04:14",,,,1.0,,,,
"Tue, 17 Sep 2024 10:39:52",23.2,54.0,2.835,,,,,
"Tue, 17 Sep 2024 11:10:30",,,,0.0,,,,
"Tue, 17 Sep 2024 11:39:53",23.6,52.0,2.832,,,,,
