time,"d-srs-04 [C40] CITEDI-IPN, Tijuana / Temperature","d-srs-04 [C40] CITEDI-IPN, Tijuana / Humidity","d-srs-04 [C40] CITEDI-IPN, Tijuana / Battery Voltage","d-srs-04 [C40] CITEDI-IPN, Tijuana / Activity",d-srs-05 [Lab IoT pos 2] / Temperature,d-srs-05 [Lab IoT pos 2] / Humidity,d-srs-05 [Lab IoT pos 2] / Activity,d-srs-06 [PV] / Temperature,d-srs-06 [PV] / Humidity,d-srs-06 [PV] / Battery Voltage,d-srs-06 [PV] / Activity
"Mon, 02 Sep 2024 12:22:41",,,,,24.1,60.0,,,,,
"Mon, 02 Sep 2024 12:30:32",,,,,,,,,,,1.0
"Mon, 02 Sep 2024 12:35:32",,,,,,,,,,,0.0
"Mon, 02 Sep 2024 12:39:06",24.4,59.0,2.836,,,,,,,,
"Mon, 02 Sep 2024 13:22:41",,,,,24.5,60.5,,,,,
"Mon, 02 Sep 2024 13:39:06",24.6,57.5,2.831,,,,,,,,
"Mon, 02 Sep 2024 14:22:41",,,,,25.5,59.5,,,,,
"Mon, 02 Sep 2024 14:23:33",,,,,,,,27.3,58.5,3.028,
"Mon, 02 Sep 2024 14:39:07",25.4,57.0,2.838,,,,,,,,
"Mon, 02 Sep 2024 14:49:11",,,,,,,0.0,,,,
"Mon, 02 Sep 2024 14:50:33",,,,0.0,,,,,,,
"Mon, 02 Sep 2024 14:51:58",,,,,,,1.0,,,,
"Mon, 02 Sep 2024 14:51:59",,,,1.0,,,,,,,
"Mon, 02 Sep 2024 14:56:59",,,,0.0,,,,,,,
"Mon, 02 Sep 2024 14:57:20",,,,,,,0.0,,,,
"Mon, 02 Sep 2024 15:22:41",,,,,25.1,59.5,,,,,
"Mon, 02 Sep 2024 15:39:07",24.9,59.5,2.838,,,,,,,,
"Mon, 02 Sep 2024 16:22:41",,,,,25.3,58.5,,,,,
"Mon, 02 Sep 2024 16:39:07",25.2,60.0,2.838,,,,,,,,
"Mon, 02 Sep 2024 17:09:30",,,,1.0,,,1.0,,,,
"Mon, 02 Sep 2024 17:22:41",,,,,25.4,58.5,,,,,
"Mon, 02 Sep 2024 17:33:56",,,,0.0,,,0.0,,,,
"Mon, 02 Sep 2024 17:39:07",25.7,59.0,2.839,,,,,,,,
"Mon, 02 Sep 2024 18:22:41",,,,,25.7,59.5,,,,,
"Mon, 02 Sep 2024 18:23:34",,,,,,,,27.1,58.0,3.027,
"Mon, 02 Sep 2024 19:22:41",,,,,25.3,60.5,,,,,
"Mon, 02 Sep 2024 19:39:07",25.2,61.0,2.839,,,,,,,,
"Mon, 02 Sep 2024 20:22:41",,,,,24.9,62.0,,,,,
"Mon, 02 Sep 2024 20:39:07",24.9,62.5,2.836,,,,,,,,
"Mon, 02 Sep 2024 20:41:18",,,,,,,,,,,0.0
"Mon, 02 Sep 2024 21:01:05",,,,,,,,,,,1.0
"Mon, 02 Sep 2024 21:22:41",,,,,24.8,62.5,,,,,
"Mon, 02 Sep 2024 21:39:07",24.7,63.0,2.836,,,,,,,,
"Mon, 02 Sep 2024 22:22:41",,,,,24.5,63.5,,,,,
"Mon, 02 Sep 2024 22:39:08",24.6,63.5,2.836,,,,,,,,
"Mon, 02 Sep 2024 23:22:40",,,,,24.5,64.0,,,,,
"Mon, 02 Sep 2024 23:39:08",24.5,64.0,2.834,,,,,,,,
"Tue, 03 Sep 2024 00:22:40",,,,,24.4,64.0,,,,,
"Tue, 03 Sep 2024 00:23:34",,,,,,,,26.1,61.0,3.031,
"Tue, 03 Sep 2024 00:39:08",24.4,64.5,2.834,,,,,,,,
"Tue, 03 Sep 2024 01:22:40",,,,,24.3,64.5,,,,,
"Tue, 03 Sep 2024 01:31:16",,,,,,,,,,,0.0
"Tue, 03 Sep 2024 01:39:08",24.4,65.0,2.838,,,,,,,,
"Tue, 03 Sep 2024 02:22:40",,,,,24.3,65.0,,,,,
"Tue, 03 Sep 2024 02:39:08",24.4,65.5,2.838,,,,,,,,
"Tue, 03 Sep 2024 03:22:40",,,,,24.3,65.0,,,,,
"Tue, 03 Sep 2024 03:39:08",24.2,65.5,2.838,,,,,,,,
"Tue, 03 Sep 2024 04:22:40",,,,,24.2,65.0,,,,,
"Tue, 03 Sep 2024 04:39:08",24.1,65.5,2.836,,,,,,,,
"Tue, 03 Sep 2024 05:22:40",,,,,24.1,65.0,,,,,
"Tue, 03 Sep 2024 05:39:09",24.1,65.5,2.836,,,,,,,,
"Tue, 03 Sep 2024 06:13:55",,,,,,,,,,,1.0
"Tue, 03 Sep 2024 06:22:40",,,,,24.0,65.5,,,,,
"Tue, 03 Sep 2024 06:23:35",,,,,,,,25.4,58.5,3.032,
"Tue, 03 Sep 2024 06:39:09",24.0,65.5,2.835,,,,,,,,
"Tue, 03 Sep 2024 07:22:40",,,,,24.0,65.0,,,,,
"Tue, 03 Sep 2024 07:26:35",,,,,,,,,,,0.0
"Tue, 03 Sep 2024 07:39:09",24.0,65.0,2.839,,,,,,,,
"Tue, 03 Sep 2024 08:22:40",,,,,24.1,64.0,,,,,
"Tue, 03 Sep 2024 08:39:09",24.1,64.5,2.835,,,,,,,,
"Tue, 03 Sep 2024 09:22:40",,,,,24.3,63.5,,,,,
"Tue, 03 Sep 2024 09:29:37",,,,1.0,,,1.0,,,,
"Tue, 03 Sep 2024 09:35:55",,,,,,,0.0,,,,
"Tue, 03 Sep 2024 09:39:09",24.2,60.5,2.835,,,,,,,,
"Tue, 03 Sep 2024 09:41:13",,,,,,,1.0,,,,
"Tue, 03 Sep 2024 09:41:54",,,,0.0,,,,,,,
"Tue, 03 Sep 2024 09:42:36",,,,1.0,,,,,,,
"Tue, 03 Sep 2024 09:46:13",,,,,,,0.0,,,,
"Tue, 03 Sep 2024 09:50:26",,,,,,,1.0,,,,
"Tue, 03 Sep 2024 10:22:40",,,,,24.2,59.0,,,,,
"Tue, 03 Sep 2024 10:23:35",,,,,,,,26.8,58.5,3.028,
"Tue, 03 Sep 2024 10:24:15",,,,,,,,,,,1.0
"Tue, 03 Sep 2024 10:39:09",24.4,58.0,2.832,,,,,,,,
"Tue, 03 Sep 2024 10:44:47",,,,,,,,,,,1.0
"Tue, 03 Sep 2024 10:58:24",,,,0.0,,,0.0,,,,
"Tue, 03 Sep 2024 11:17:24",,,,,,,1.0,,,,
"Tue, 03 Sep 2024 11:17:25",,,,1.0,,,,,,,
"Tue, 03 Sep 2024 11:22:24",,,,,,,0.0,,,,
"Tue, 03 Sep 2024 11:22:25",,,,0.0,,,,,,,
"Tue, 03 Sep 2024 11:22:40",,,,,24.3,60.0,,,,,
"Tue, 03 Sep 2024 11:27:00",,,,,,,1.0,,,,
"Tue, 03 Sep 2024 11:39:09",24.5,59.0,2.828,,,,,,,,
"Tue, 03 Sep 2024 11:53:39",,,,0.0,,,,,,,
"Tue, 03 Sep 2024 11:53:40",,,,,,,0.0,,,,
