time,"d-srs-04 [C40] CITEDI-IPN, Tijuana / Temperature","d-srs-04 [C40] CITEDI-IPN, Tijuana / Humidity","d-srs-04 [C40] CITEDI-IPN, Tijuana / Battery Voltage",d-srs-06 [PV] / Temperature,d-srs-06 [PV] / Humidity,d-srs-06 [PV] / Battery Voltage
"Mon, 09 Sep 2024 12:39:27",31.4,42.0,2.853,,,
"Mon, 09 Sep 2024 14:39:28",32.0,40.5,2.857,,,
"Mon, 09 Sep 2024 15:39:28",32.0,37.0,2.856,,,
"Mon, 09 Sep 2024 16:39:28",31.9,37.5,2.855,,,
"Mon, 09 Sep 2024 17:39:28",31.9,39.5,2.849,,,
"Mon, 09 Sep 2024 18:39:28",31.5,41.0,2.853,,,
"Mon, 09 Sep 2024 19:39:28",31.2,42.5,2.856,,,
"Mon, 09 Sep 2024 20:39:28",30.9,44.0,2.855,,,
"Mon, 09 Sep 2024 21:39:28",30.6,45.0,2.85,,,
"Mon, 09 Sep 2024 22:23:56",,,,30.9,45.0,3.029
"Mon, 09 Sep 2024 22:39:28",30.5,46.0,2.852,,,
"Mon, 09 Sep 2024 23:39:29",30.2,46.0,2.852,,,
"Tue, 10 Sep 2024 00:24:10",,,,30.7,46.5,3.032
"Tue, 10 Sep 2024 00:39:29",29.8,47.5,2.857,,,
"Tue, 10 Sep 2024 01:39:29",29.5,49.0,2.853,,,
"Tue, 10 Sep 2024 02:24:04",,,,30.4,46.5,3.035
"Tue, 10 Sep 2024 02:39:29",29.3,50.0,2.855,,,
"Tue, 10 Sep 2024 03:23:57",,,,30.2,46.5,3.036
"Tue, 10 Sep 2024 03:39:29",29.1,51.0,2.856,,,
"Tue, 10 Sep 2024 04:24:04",,,,30.1,46.5,3.0340000000000003
"Tue, 10 Sep 2024 04:39:29",29.0,52.0,2.85,,,
"Tue, 10 Sep 2024 05:39:29",28.9,52.5,2.856,,,
"Tue, 10 Sep 2024 06:39:29",28.8,53.0,2.853,,,
"Tue, 10 Sep 2024 07:39:29",28.6,52.5,2.853,,,
"Tue, 10 Sep 2024 08:39:29",28.6,52.0,2.853,,,
"Tue, 10 Sep 2024 09:39:29",28.8,50.0,2.85,,,
"Tue, 10 Sep 2024 10:39:29",29.2,46.5,2.85,,,
"Tue, 10 Sep 2024 11:39:30",29.6,45.0,2.853,,,
