time,"d-srs-04 [C40] CITEDI-IPN, Tijuana / Temperature","d-srs-04 [C40] CITEDI-IPN, Tijuana / Humidity","d-srs-04 [C40] CITEDI-IPN, Tijuana / Battery Voltage"
"Sat, 14 Sep 2024 12:39:44",25.2,51.5,2.845
"Sat, 14 Sep 2024 14:39:45",26.0,49.5,2.842
"Sat, 14 Sep 2024 15:39:45",26.3,49.0,2.841
"Sat, 14 Sep 2024 16:39:45",26.5,49.0,2.846
"Sat, 14 Sep 2024 17:39:45",26.3,49.5,2.843
"Sat, 14 Sep 2024 18:39:45",25.6,51.5,2.835
"Sat, 14 Sep 2024 19:39:46",25.1,53.0,2.843
"Sat, 14 Sep 2024 20:39:46",24.8,54.0,2.839
"Sat, 14 Sep 2024 21:39:46",24.6,54.5,2.842
"Sat, 14 Sep 2024 22:39:46",24.5,55.0,2.843
"Sat, 14 Sep 2024 23:39:46",24.6,55.5,2.842
"Sun, 15 Sep 2024 00:39:47",24.5,55.5,2.841
"Sun, 15 Sep 2024 01:39:47",24.4,55.5,2.839
"Sun, 15 Sep 2024 02:39:47",24.4,55.5,2.839
"Sun, 15 Sep 2024 03:39:47",24.5,55.5,2.842
"Sun, 15 Sep 2024 04:39:47",24.3,56.0,2.839
"Sun, 15 Sep 2024 05:39:47",24.3,56.5,2.838
"Sun, 15 Sep 2024 06:39:47",24.2,56.5,2.841
"Sun, 15 Sep 2024 07:39:47",24.2,56.5,2.841
"Sun, 15 Sep 2024 08:39:47",24.2,56.5,2.841
"Sun, 15 Sep 2024 09:39:47",24.3,56.5,2.842
"Sun, 15 Sep 2024 10:39:47",24.5,55.5,2.841
