time,"d-srs-04 [C40] CITEDI-IPN, Tijuana / Temperature","d-srs-04 [C40] CITEDI-IPN, Tijuana / Humidity","d-srs-04 [C40] CITEDI-IPN, Tijuana / Battery Voltage",d-srs-06 [PV] / Temperature,d-srs-06 [PV] / Humidity,d-srs-06 [PV] / Battery Voltage
"Sat, 07 Sep 2024 12:39:23",29.5,53.0,2.848,,,
"Sat, 07 Sep 2024 13:39:23",30.0,51.5,2.843,,,
"Sat, 07 Sep 2024 14:39:23",30.5,50.0,2.852,,,
"Sat, 07 Sep 2024 15:39:23",31.0,49.5,2.853,,,
"Sat, 07 Sep 2024 16:39:23",31.1,49.5,2.849,,,
"Sat, 07 Sep 2024 17:39:23",31.0,50.0,2.85,,,
"Sat, 07 Sep 2024 18:39:23",30.7,51.0,2.853,,,
"Sat, 07 Sep 2024 19:23:50",,,,29.9,52.0,3.028
"Sat, 07 Sep 2024 19:39:24",30.5,52.0,2.853,,,
"Sat, 07 Sep 2024 20:24:04",,,,29.8,53.0,3.029
"Sat, 07 Sep 2024 20:39:24",30.2,52.5,2.849,,,
"Sat, 07 Sep 2024 21:23:57",,,,29.7,53.5,3.032
"Sat, 07 Sep 2024 21:39:24",30.1,53.5,2.853,,,
"Sat, 07 Sep 2024 22:24:04",,,,29.5,53.0,3.032
"Sat, 07 Sep 2024 22:39:24",30.0,53.5,2.849,,,
"Sat, 07 Sep 2024 23:23:50",,,,29.5,52.5,3.031
"Sun, 08 Sep 2024 00:39:24",29.5,55.0,2.852,,,
"Sun, 08 Sep 2024 01:39:24",29.4,56.0,2.845,,,
"Sun, 08 Sep 2024 02:23:51",,,,29.1,53.0,3.031
"Sun, 08 Sep 2024 02:39:24",29.2,56.5,2.849,,,
"Sun, 08 Sep 2024 03:39:24",29.1,56.5,2.849,,,
"Sun, 08 Sep 2024 04:39:24",29.0,55.5,2.848,,,
"Sun, 08 Sep 2024 05:39:24",29.0,56.5,2.849,,,
"Sun, 08 Sep 2024 06:39:24",29.0,56.5,2.843,,,
"Sun, 08 Sep 2024 07:39:24",29.0,56.0,2.848,,,
"Sun, 08 Sep 2024 08:39:25",29.3,55.0,2.849,,,
"Sun, 08 Sep 2024 09:39:25",29.7,54.0,2.853,,,
"Sun, 08 Sep 2024 10:39:25",30.4,52.0,2.853,,,
"Sun, 08 Sep 2024 11:39:25",31.1,50.0,2.846,,,
