time,"d-srs-04 [C40] CITEDI-IPN, Tijuana / Temperature","d-srs-04 [C40] CITEDI-IPN, Tijuana / Humidity","d-srs-04 [C40] CITEDI-IPN, Tijuana / Battery Voltage"
"Wed, 11 Sep 2024 12:39:34",27.4,47.5,2.845
"Wed, 11 Sep 2024 13:39:34",27.6,47.0,2.849
"Wed, 11 Sep 2024 15:39:35",27.9,45.0,2.852
"Wed, 11 Sep 2024 16:39:35",28.0,44.5,2.852
"Wed, 11 Sep 2024 17:39:35",27.5,46.0,2.848
"Wed, 11 Sep 2024 19:39:35",26.1,49.0,2.848
"Wed, 11 Sep 2024 20:39:35",25.9,50.5,2.841
"Wed, 11 Sep 2024 21:39:42",25.8,51.5,2.848
"Wed, 11 Sep 2024 22:39:36",25.6,52.0,2.848
"Wed, 11 Sep 2024 23:39:36",25.4,53.0,2.848
"Thu, 12 Sep 2024 00:39:36",25.2,53.0,2.842
"Thu, 12 Sep 2024 01:39:36",25.2,53.0,2.846
"Thu, 12 Sep 2024 02:39:36",25.1,53.0,2.848
"Thu, 12 Sep 2024 03:39:36",25.1,53.5,2.845
"Thu, 12 Sep 2024 04:39:37",25.0,53.5,2.845
"Thu, 12 Sep 2024 05:39:37",24.8,53.5,2.845
"Thu, 12 Sep 2024 06:39:37",24.9,53.5,2.845
"Thu, 12 Sep 2024 07:39:37",24.7,53.0,2.841
"Thu, 12 Sep 2024 08:39:38",24.7,53.0,2.846
"Thu, 12 Sep 2024 09:39:38",24.7,52.0,2.846
"Thu, 12 Sep 2024 11:39:38",25.4,49.5,2.846
