time,"d-srs-04 [C40] CITEDI-IPN, Tijuana / Temperature","d-srs-04 [C40] CITEDI-IPN, Tijuana / Humidity","d-srs-04 [C40] CITEDI-IPN, Tijuana / Battery Voltage"
"Fri, 06 Sep 2024 12:39:19",28.2,49.5,2.845
"Fri, 06 Sep 2024 14:39:19",28.8,48.5,2.846
"Fri, 06 Sep 2024 15:39:19",28.9,48.0,2.842
"Fri, 06 Sep 2024 17:39:19",29.0,46.5,2.848
"Fri, 06 Sep 2024 18:39:20",28.8,47.5,2.842
"Fri, 06 Sep 2024 19:39:20",28.6,48.0,2.848
"Fri, 06 Sep 2024 20:39:20",28.4,50.5,2.845
"Fri, 06 Sep 2024 21:39:20",28.3,51.5,2.843
"Fri, 06 Sep 2024 22:39:20",28.1,53.0,2.845
"Fri, 06 Sep 2024 23:39:20",28.0,54.0,2.843
"Sat, 07 Sep 2024 00:39:20",27.8,55.0,2.848
"Sat, 07 Sep 2024 01:39:21",27.6,56.5,2.842
"Sat, 07 Sep 2024 02:39:21",27.5,57.5,2.842
"Sat, 07 Sep 2024 03:39:21",27.4,58.0,2.843
"Sat, 07 Sep 2024 04:39:21",27.3,59.0,2.845
"Sat, 07 Sep 2024 05:39:21",27.3,59.0,2.843
"Sat, 07 Sep 2024 06:39:21",27.3,59.5,2.838
"Sat, 07 Sep 2024 07:39:22",27.3,59.5,2.843
"Sat, 07 Sep 2024 08:39:22",27.6,59.0,2.841
"Sat, 07 Sep 2024 09:39:22",28.0,58.0,2.846
"Sat, 07 Sep 2024 10:39:22",28.6,56.0,2.843
