time,"d-srs-04 [C40] CITEDI-IPN, Tijuana / Temperature","d-srs-04 [C40] CITEDI-IPN, Tijuana / Humidity","d-srs-04 [C40] CITEDI-IPN, Tijuana / Battery Voltage"
"Tue, 10 Sep 2024 12:39:30",30.0,43.0,2.849
"Tue, 10 Sep 2024 13:39:30",30.2,42.5,2.849
"Tue, 10 Sep 2024 14:39:30",30.5,41.5,2.856
"Tue, 10 Sep 2024 15:39:30",30.5,40.5,2.856
"Tue, 10 Sep 2024 16:39:31",30.5,41.5,2.853
"Tue, 10 Sep 2024 17:39:31",30.1,42.0,2.853
"Tue, 10 Sep 2024 18:39:31",29.6,45.0,2.855
"Tue, 10 Sep 2024 19:39:31",28.9,47.5,2.845
"Tue, 10 Sep 2024 20:39:31",28.4,49.0,2.853
"Tue, 10 Sep 2024 21:39:31",28.1,50.5,2.85
"Tue, 10 Sep 2024 22:39:31",27.8,52.5,2.846
"Tue, 10 Sep 2024 23:39:32",27.6,54.0,2.85
"Wed, 11 Sep 2024 01:39:32",27.4,55.5,2.85
"Wed, 11 Sep 2024 02:39:32",27.3,56.0,2.849
"Wed, 11 Sep 2024 03:39:32",27.1,56.5,2.853
"Wed, 11 Sep 2024 04:39:32",27.0,56.5,2.848
"Wed, 11 Sep 2024 05:39:32",26.9,56.5,2.853
"Wed, 11 Sep 2024 06:39:33",26.8,56.0,2.848
"Wed, 11 Sep 2024 07:39:33",26.6,55.5,2.85
"Wed, 11 Sep 2024 08:39:33",26.6,55.0,2.846
"Wed, 11 Sep 2024 09:39:33",26.7,54.0,2.853
"Wed, 11 Sep 2024 10:39:33",26.9,51.5,2.846
"Wed, 11 Sep 2024 11:39:34",27.1,50.0,2.846
